2.332	1.699	-1.038	-2.640	0.385	2.045	-1.172	-0.371	-0.360	-0.813	-0.120	-0.925	0.413	1.922	-0.194	0.047	-1.571	0.060	1.536	0.981	0.717	0.667	1.165	-0.052	-1.544	0.339	0.556	-0.206	0.027	0.586	1.955	0.059	0.948	-1.347	-2.189	1.198	-0.758	0.436	1.343	-1.558	-0.213	-0.968	0.146	-1.177	1.349	0.027	2.286	-0.939	-0.854	0.490	0.325	1.320	1.074	-0.489	-2.526	-2.107	-0.096	-1.739	-0.643	0.380	-0.363	0.472	1.781	-0.342	-0.239	-0.491	-0.855	-0.377	0.250	0.539	-0.048	0.627	0.205	0.051	0.085	-2.351	0.542	0.016	-1.027	-0.913	0.105	-0.025	0.178	0.699	2.183	2.038	-0.457	-1.248	-0.914	0.297	-0.265
-1.585	0.443	-2.210	0.673	-0.182	-0.736	2.779	1.035	-0.748	-0.988	0.752	0.202	-0.624	1.100	-0.310	-0.865	-0.356	1.207	0.854	0.543	1.387	1.173	-0.496	-1.152	0.514	0.115	-2.222	0.826	0.157	0.884	-0.738	-1.294	-0.854	-1.800	-0.090	-2.003	1.491	-0.150	-0.569	0.023	-0.675	-1.454	-0.011	0.306	-0.831	0.092	2.538	-0.524	1.967	0.571	-1.094	1.786	-0.037	-1.691	-2.640	1.411	-0.614	0.002	-0.745	1.441	0.137	0.002	0.557	1.532	0.938	1.021	-0.185	0.786	-0.974	1.628	0.040	-0.110	0.335	-1.154	1.581	-2.088	-0.530	-0.730	1.850	2.106	-1.276	-1.467	2.487	1.177	-1.611	0.458	-1.197	-0.617	-1.810	0.091	1.787
-0.754	-1.488	0.648	1.175	0.204	0.556	-0.818	1.297	-0.021	1.052	-0.516	0.807	-2.024	1.098	-0.207	-2.031	-0.671	0.738	-0.787	-0.938	-1.370	0.883	2.175	0.713	-0.104	-2.267	1.909	-0.731	0.164	0.276	0.396	0.227	-0.942	0.379	-0.634	-0.697	0.725	-0.284	0.961	1.247	0.145	-0.366	-1.267	2.062	-0.356	0.576	-1.273	0.388	-0.129	-1.261	0.364	0.648	0.478	-1.032	-0.287	0.683	-0.072	-0.267	-0.000	0.763	0.126	1.892	0.032	1.845	0.702	-0.991	0.810	0.501	0.617	0.844	-1.383	-1.237	0.543	-1.493	-1.368	1.200	-0.015	0.075	-0.445	-0.908	-1.665	0.689	0.455	-1.470	0.606	0.191	2.539	-0.059	-0.497	0.854	2.018
-1.017	-0.423	-0.413	-1.593	-1.133	-1.495	0.963	1.237	2.174	1.836	-0.968	-0.504	1.844	-0.465	-0.433	-0.592	-1.183	-1.324	-0.178	0.662	1.056	-0.873	1.913	-0.064	-0.062	0.904	-0.347	2.495	0.470	0.439	-1.238	-0.582	0.740	-1.372	1.039	1.746	0.860	-0.364	-0.250	-0.242	-0.189	-0.985	-0.845	1.313	0.767	0.109	-0.608	0.527	-0.327	-0.493	0.374	0.294	-1.511	-0.393	-1.229	0.897	0.423	2.094	1.061	0.662	-0.045	0.236	-1.838	-0.577	1.491	1.462	-0.572	-0.909	-0.732	0.243	1.968	0.871	-0.357	0.256	0.920	-0.397	0.694	0.811	-0.996	-1.131	1.500	-0.587	0.981	-0.689	-1.608	1.411	0.234	-0.871	0.828	-0.893	0.216
0.426	0.424	-0.229	0.248	-0.597	-0.645	0.725	0.861	1.250	-0.573	-0.038	-1.141	0.311	-1.207	-1.317	1.704	-1.082	-0.581	-1.453	1.496	0.559	-1.008	-0.441	1.175	-2.122	0.020	-1.035	0.622	-0.095	-0.677	1.029	1.212	-0.651	0.406	-0.465	0.185	-0.303	-0.850	0.336	-0.035	0.046	0.197	-0.598	-1.143	-0.992	-0.208	1.941	0.116	-0.819	-0.115	-0.658	0.396	0.289	1.025	-1.304	-1.988	-0.007	0.543	0.774	0.748	0.212	-0.169	-0.020	-0.471	-0.500	0.756	-1.025	-0.154	0.665	1.095	0.895	-0.115	-0.072	0.644	-0.862	-0.558	0.072	-0.869	0.351	1.821	0.271	-0.120	2.005	-0.148	0.223	-0.856	-0.533	-0.606	-0.214	-0.637	-0.299
2.966	1.523	1.035	1.112	-1.692	1.589	0.415	-1.081	-1.144	0.237	0.964	-1.845	-0.054	0.916	-0.149	0.711	-1.126	-0.278	-1.173	0.377	-0.574	-0.938	-0.464	0.419	0.334	1.302	0.699	0.585	1.653	0.061	-0.482	-0.449	-1.037	0.230	-2.625	-0.302	0.384	1.284	-0.831	-0.572	0.984	-0.139	-0.566	-1.908	-1.121	0.791	1.016	0.926	1.710	-1.254	-0.731	-0.424	0.423	-0.390	-0.361	1.372	-1.907	0.430	0.951	0.182	1.203	0.523	-0.034	-0.837	-2.212	0.096	-0.733	1.275	0.527	-1.365	-1.181	1.138	0.486	-1.082	-0.184	0.375	-0.601	-0.505	-0.053	-0.002	-0.303	0.122	-0.791	0.337	-1.388	-2.595	-0.157	0.079	-0.455	0.437	0.479
0.771	-0.272	0.629	-0.406	0.300	-0.189	0.190	-0.534	-0.322	0.409	0.393	-0.764	0.144	0.903	0.726	1.588	0.501	0.565	1.419	1.689	-1.955	0.333	1.439	0.580	-0.973	0.401	0.117	0.378	-0.198	-0.079	0.022	-0.413	-0.786	0.921	0.065	0.672	0.187	-1.893	0.430	0.914	-0.558	0.451	1.056	0.787	-0.819	1.625	-1.024	-1.890	-0.921	0.546	-1.111	0.934	0.600	0.735	0.416	-1.341	0.341	-0.571	1.809	0.909	-1.051	0.232	-1.080	-2.663	-0.389	-0.117	-1.215	-0.585	-0.749	-0.272	1.890	0.803	1.315	-0.708	0.322	-1.541	0.091	0.561	1.209	0.931	-0.678	1.037	0.604	-1.800	0.030	0.125	-2.300	0.374	0.158	-1.290	-0.087
-0.521	-2.358	0.885	-1.523	0.762	0.731	0.528	2.016	-1.431	-0.024	1.042	-0.721	0.861	2.192	0.144	0.167	1.547	-1.284	-0.508	-1.361	1.848	0.179	0.463	0.738	1.954	-0.962	-0.182	-1.175	0.491	1.088	-0.816	0.220	-0.626	-0.595	-0.569	-1.051	0.043	-1.792	-0.318	-0.134	-0.076	-0.950	0.520	0.184	-1.602	-0.051	-0.699	-0.041	2.268	-1.788	-0.341	-0.532	0.002	-0.495	-0.378	0.008	0.332	1.212	1.038	-0.362	0.912	0.917	1.472	-0.135	-1.010	-0.785	1.794	-1.478	1.587	0.863	-0.607	1.344	0.651	-0.057	0.224	-1.045	0.192	-0.441	0.426	0.955	-0.341	0.176	0.831	0.627	1.144	0.520	1.380	0.253	1.310	-0.044	1.142
-0.387	1.526	-0.808	1.100	0.345	-0.307	0.162	-2.265	-0.827	0.123	0.409	-0.390	-1.374	1.339	-0.038	-0.432	1.196	0.817	-1.040	0.681	-0.708	0.541	0.128	1.838	-0.673	-1.438	1.947	-0.445	0.653	-0.026	0.988	-1.124	-0.512	2.444	-0.142	1.162	0.292	1.326	-0.159	1.553	-0.009	0.372	0.367	0.406	0.343	0.307	0.646	0.921	0.731	0.740	0.996	-0.286	0.631	-0.407	-0.880	-1.066	0.131	-0.452	-0.416	-0.507	0.430	1.496	-1.046	-2.133	1.394	-0.313	0.213	0.993	-1.551	-0.603	-2.299	1.139	-1.109	2.349	0.681	-0.083	0.390	0.939	-0.614	-0.317	-0.691	0.905	1.145	1.356	-1.521	-0.549	1.122	-0.429	0.436	-0.788	0.014
0.162	0.855	-0.554	0.151	0.068	1.885	1.255	0.486	-1.853	0.324	0.743	-0.129	0.503	0.982	-0.092	1.416	0.248	-0.032	-0.714	-0.007	-1.146	-1.356	-0.698	0.482	-0.842	-1.417	0.467	2.135	-0.673	-0.350	-0.897	-0.961	-0.122	-0.454	-0.969	-0.134	1.219	-0.848	-0.195	0.507	-0.493	0.374	1.823	0.595	0.137	1.936	-1.672	0.207	0.555	-0.587	1.491	0.083	-0.827	1.009	0.630	-0.246	1.660	0.595	0.233	0.865	-0.879	0.417	0.823	-0.477	-1.584	-1.196	-1.595	-0.400	-0.927	1.734	-1.153	-1.766	1.609	1.215	1.191	0.608	-0.033	0.194	-0.220	0.370	0.143	1.541	-0.398	-1.249	-0.713	1.395	-0.513	-0.541	0.151	0.641	-0.669
